district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Dhule,akkalkuwa,Akkalkuwa (Ct),2017,1,1991,1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,0.6284528595512904,0.2505511606795487,2.9337474120082816,0.17637141745558294,0.20321618467124886,6.518174133558749,0.7273745519713262
Dhule,dhule,Dhule (M),2017,3,1991,78500.2,395841.4,202850.4,192991.0,43430.2,30748.0,16176.0,313945.0,124450.8,116244.0,8206.8,271390.6,0.7931080478191518,0.314395614000961,2.1807059496604277,0.10971616410006632,0.11854242633539594,5.0425527578273694,0.9513957083643907
Dhule,dondaicha,Dondaicha (M),2017,1,1991,5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,0.5553937160013079,0.3114949020540412,2.1701498234564367,0.17547040813293302,0.2010641776403793,5.654899983190452,0.9356156501726122
Dhule,nandurbar,Nandurbar (M),2017,1,1991,12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,0.6417362014851106,0.25984332338156113,2.814543847589119,0.15811834953685983,0.17267600602209804,6.039762657008554,0.9206528131738875
Dhule,nawapur,Nawapur (M),2017,1,1991,4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,0.5708322898405543,0.2904666499707822,2.4165828423624083,0.17155021287252692,0.32949327990650307,5.673218091404215,0.9394479073909172
Dhule,shahade,Shahade (M),2017,1,1991,5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,0.5914079648792725,0.27278143618689243,2.6627198528566502,0.18319222326748197,0.1673565380997178,6.024938598148498,0.9374240583232077
Dhule,shirpur,Shirpur (M),2017,1,1991,7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,0.5809112688152601,0.302106405098766,2.2779232438093815,0.17461465443203905,0.13544727206979162,5.874402549123738,0.9331527437958755
Dhule,talode,Talode (M),2017,1,1991,3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,0.5368663594470046,0.3300921658986175,1.9882730699427613,0.16506912442396313,0.3014746543778802,5.598555211558308,0.9609615037050425
Jalgaon,amalner,Amalner (M),2017,3,1991,21294.8,98696.4,50807.8,47888.6,9561.2,7257.0,6928.6,77399.2,36515.6,29473.2,7042.4,62180.8,0.7842150270931868,0.36997904685479915,1.7028557657549104,0.096874860683875,0.1437296598457492,4.634765294813757,0.9425442550159621
Jalgaon,bhusawal,Bhusawal (M),2017,3,1991,41914.6,196450.4,100310.4,96140.0,19363.2,36284.4,6659.6,157666.2,59159.8,50425.6,8734.2,137290.6,0.8025751029267439,0.3011436983584661,2.3206738359494117,0.09856533761193666,0.21859970761067427,4.686920547971352,0.9584250486489936
